Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	6.083371	7.749711	2.909469	10.252000	
0.100000	4.319056	3.432577	17.377035	28.452000	
0.100000	3.401704	2.993416	29.958143	35.739998	
0.100000	2.991399	2.548862	36.587448	42.910000	
0.100000	2.755446	2.430209	40.600098	45.135998	
0.100000	2.598521	2.308234	43.301453	47.377998	
0.100000	2.492697	2.284577	45.235764	48.090000	
0.100000	2.416717	2.237247	46.596706	48.975998	
0.100000	2.361370	2.104954	47.684353	51.141998	
0.100000	2.318742	2.048834	48.459591	51.955997	
0.100000	2.283454	2.218803	49.096817	49.703999	
0.100000	2.257440	2.067262	49.569252	52.048000	
0.100000	2.231793	1.948482	49.985245	53.967999	
0.100000	2.211725	2.029753	50.321541	52.730000	
0.100000	2.197447	2.048970	50.679768	52.181999	
0.100000	2.180140	1.967092	50.991005	54.261997	
0.100000	2.167690	1.974104	51.215748	53.801998	
0.100000	2.156323	1.849923	51.492321	56.236000	
0.100000	2.148393	1.961244	51.619640	53.675999	
0.100000	2.135008	1.851338	51.878574	56.139999	
0.100000	2.127900	1.922588	52.004723	54.793999	
0.100000	2.120280	1.958457	52.126266	54.257999	
0.100000	2.110822	1.944005	52.306591	54.535999	
0.100000	2.105437	1.870905	52.379971	55.751999	
0.100000	2.101921	1.853561	52.481689	55.949997	
0.100000	2.095012	1.937900	52.568733	54.612000	
0.100000	2.090218	1.871670	52.715626	56.079998	
0.100000	2.086174	1.945754	52.790581	54.605999	
0.100000	2.081577	1.850720	52.885109	56.459999	
0.100000	2.078688	1.916270	52.931324	54.623997	
0.010000	1.548016	1.186813	63.928532	70.320000	
0.010000	1.428996	1.135757	66.327194	71.307999	
0.010000	1.385352	1.125843	67.243408	71.709999	
0.010000	1.357762	1.119770	67.793419	71.793999	
0.010000	1.339500	1.099273	68.158775	72.337997	
0.010000	1.324206	1.091843	68.462479	72.425995	
0.010000	1.316780	1.104071	68.632545	72.285995	
0.010000	1.310083	1.128055	68.757736	71.743996	
0.010000	1.308000	1.119002	68.800598	71.853996	
0.010000	1.305498	1.121130	68.804810	71.916000	
0.010000	1.304550	1.127954	68.872688	71.703995	
0.010000	1.304360	1.106358	68.794464	72.147995	
0.010000	1.304974	1.112002	68.834633	72.178001	
0.010000	1.302007	1.121742	68.860176	72.035995	
0.010000	1.301543	1.111592	68.831894	72.071999	
0.010000	1.299278	1.112643	68.920227	72.311996	
0.010000	1.298725	1.114893	68.930008	72.075996	
0.010000	1.297949	1.103224	68.914406	72.501999	
0.010000	1.298012	1.130760	68.917381	71.711998	
0.010000	1.295393	1.121122	68.959793	72.061996	
0.010000	1.293069	1.111926	69.020149	72.307999	
0.010000	1.286770	1.113180	69.101555	72.003998	
0.010000	1.285279	1.135831	69.168404	71.713997	
0.010000	1.282366	1.122979	69.202591	71.888000	
0.010000	1.279585	1.125287	69.302505	71.799995	
0.010000	1.278286	1.132558	69.346985	71.584000	
0.010000	1.274605	1.133420	69.456596	71.917999	
0.010000	1.272184	1.090884	69.425804	72.641998	
0.010000	1.268614	1.179904	69.520500	70.783997	
0.010000	1.265153	1.097444	69.598648	72.537994	
0.001000	1.067687	0.931329	74.123672	76.407997	
0.001000	1.012275	0.918694	75.397766	76.799995	
0.001000	0.988961	0.913566	75.916306	76.813995	
0.001000	0.972848	0.901003	76.309509	77.017998	
0.001000	0.963216	0.901156	76.497162	77.304001	
0.001000	0.953449	0.901059	76.731018	77.279999	
0.001000	0.943768	0.897630	76.881943	77.346001	
0.001000	0.935624	0.893974	77.080421	77.379997	
0.001000	0.930650	0.895998	77.240379	77.374001	
0.001000	0.922463	0.895622	77.389977	77.405998	
0.001000	0.917083	0.896183	77.522354	77.529999	
0.001000	0.910289	0.895769	77.674164	77.612000	
0.001000	0.905672	0.889607	77.841301	77.589996	
0.001000	0.901253	0.891158	77.887566	77.633995	
0.001000	0.894298	0.889637	78.055153	77.776001	
0.001000	0.890708	0.889233	78.160637	77.571999	
0.001000	0.889708	0.890184	78.202950	77.615997	
0.001000	0.882202	0.881825	78.379494	77.689995	
0.001000	0.877853	0.888475	78.410980	77.689995	
0.001000	0.874666	0.885874	78.467888	77.809998	
0.001000	0.869701	0.889635	78.611282	77.687996	
0.001000	0.867115	0.887745	78.668167	77.612000	
0.001000	0.862739	0.887048	78.815460	77.776001	
0.001000	0.861872	0.890733	78.837807	77.613998	
0.001000	0.854621	0.891575	78.977539	77.673996	
0.001000	0.853214	0.890412	79.035820	77.650002	
0.001000	0.850171	0.892193	79.082825	77.584000	
0.001000	0.846974	0.895910	79.175499	77.689995	
0.001000	0.844279	0.899186	79.214180	77.673996	
0.001000	0.842428	0.891789	79.254196	77.533997	
0.000100	0.809250	0.877863	80.105080	78.089996	
0.000100	0.796651	0.871067	80.417038	78.185997	
0.000100	0.792867	0.874511	80.495453	78.155998	
0.000100	0.789615	0.875090	80.563187	78.127998	
0.000100	0.786923	0.871194	80.657600	78.175995	
0.000100	0.785483	0.876460	80.642326	78.217995	
0.000100	0.783658	0.875444	80.691994	78.253998	
0.000100	0.783955	0.872741	80.736343	78.178001	
0.000100	0.782754	0.871667	80.747437	78.301994	
0.000100	0.780841	0.871488	80.784607	78.297997	
