Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	4.910661	3.830978	11.742325	22.532000	
0.100000	3.441853	2.851698	29.015381	37.043999	
0.100000	2.945228	2.613600	37.098057	41.737999	
0.100000	2.702200	2.415004	41.333809	45.250000	
0.100000	2.556383	2.364165	43.851326	46.321999	
0.100000	2.463198	2.190648	45.611481	49.188000	
0.100000	2.392946	2.129313	46.855251	50.577999	
0.100000	2.341799	2.072426	47.794029	51.709999	
0.100000	2.301640	2.025593	48.574108	52.708000	
0.100000	2.267383	2.000788	49.211723	52.865997	
0.100000	2.243795	2.018872	49.628109	52.593998	
0.100000	2.219186	2.217190	50.134659	48.947998	
0.100000	2.201627	1.957403	50.401474	53.585999	
0.100000	2.187968	1.899594	50.691086	55.255997	
0.100000	2.173984	2.008114	50.963680	52.563999	
0.100000	2.162524	1.843124	51.172813	56.213997	
0.100000	2.151211	1.871603	51.357662	55.633999	
0.100000	2.140942	1.856802	51.592709	55.694000	
0.100000	2.131177	1.910944	51.755470	55.042000	
0.100000	2.126941	1.875944	51.866009	55.537998	
0.100000	2.118647	1.883685	52.014324	55.362000	
0.100000	2.115824	1.961006	52.032669	54.029999	
0.100000	2.105231	1.916231	52.254055	54.483997	
0.100000	2.103307	1.887908	52.284500	55.271999	
0.100000	2.097806	2.024818	52.445232	52.671997	
0.100000	2.093797	1.898250	52.481915	54.888000	
0.100000	2.085699	1.928375	52.606510	54.329998	
0.100000	2.084857	1.834363	52.675060	56.189999	
0.100000	2.081525	1.807173	52.700027	56.897999	
0.100000	2.074136	1.969221	52.881207	53.649998	
0.010000	1.552975	1.190198	63.653004	70.208000	
0.010000	1.440227	1.145174	65.949417	71.227997	
0.010000	1.394077	1.122625	66.932175	71.764000	
0.010000	1.368013	1.114447	67.491867	72.023994	
0.010000	1.346045	1.115921	67.922935	71.895996	
0.010000	1.337548	1.114812	68.084732	71.975998	
0.010000	1.328555	1.120062	68.284668	71.872002	
0.010000	1.325072	1.114495	68.338730	72.057999	
0.010000	1.318909	1.121096	68.437965	71.860001	
0.010000	1.322259	1.109141	68.369576	71.916000	
0.010000	1.319503	1.106274	68.434624	72.239998	
0.010000	1.320395	1.106652	68.375786	72.155998	
0.010000	1.318787	1.121408	68.368515	71.692001	
0.010000	1.318476	1.127399	68.391060	71.431999	
0.010000	1.320501	1.130308	68.365974	71.537994	
0.010000	1.318043	1.134147	68.425270	71.673996	
0.010000	1.317302	1.153992	68.415375	71.125999	
0.010000	1.316830	1.118831	68.417931	71.844002	
0.010000	1.316883	1.144376	68.383705	71.334000	
0.010000	1.312391	1.137181	68.473686	71.403999	
0.010000	1.310709	1.157197	68.511810	71.054001	
0.010000	1.309535	1.150415	68.553810	71.537994	
0.010000	1.304789	1.159190	68.616951	70.931999	
0.010000	1.302948	1.135857	68.715500	71.559998	
0.010000	1.299518	1.115757	68.746918	71.984001	
0.010000	1.296368	1.125831	68.835068	71.692001	
0.010000	1.300089	1.116875	68.712563	71.799995	
0.010000	1.295417	1.183921	68.841011	70.489998	
0.010000	1.294356	1.118381	68.885635	71.923996	
0.010000	1.289620	1.124689	68.989212	71.655998	
0.001000	1.094293	0.955213	73.495628	75.767998	
0.001000	1.041657	0.941838	74.634964	76.075996	
0.001000	1.022835	0.934194	75.074165	76.278000	
0.001000	1.006743	0.927508	75.444229	76.428001	
0.001000	0.997306	0.926057	75.636429	76.615997	
0.001000	0.988890	0.920829	75.849861	76.601997	
0.001000	0.977561	0.921077	76.073288	76.481995	
0.001000	0.973077	0.919670	76.204796	76.731995	
0.001000	0.966682	0.914999	76.343124	76.762001	
0.001000	0.959943	0.913987	76.511414	76.869995	
0.001000	0.953302	0.915743	76.630760	76.820000	
0.001000	0.949716	0.918846	76.722931	76.832001	
0.001000	0.943211	0.911865	76.888962	76.863998	
0.001000	0.939008	0.912433	76.983925	76.839996	
0.001000	0.935010	0.915894	77.033760	76.928001	
0.001000	0.930061	0.912729	77.184975	77.023994	
0.001000	0.926387	0.917382	77.239449	77.051994	
0.001000	0.922910	0.916003	77.351692	76.953995	
0.001000	0.919581	0.911899	77.406746	77.089996	
0.001000	0.917325	0.911593	77.446350	76.837997	
0.001000	0.912895	0.911383	77.544281	76.979996	
0.001000	0.910673	0.910377	77.612358	77.201996	
0.001000	0.907605	0.910110	77.687912	77.215996	
0.001000	0.903383	0.916389	77.818794	76.813995	
0.001000	0.900341	0.916238	77.843048	77.040001	
0.001000	0.898431	0.909325	77.910019	77.085999	
0.001000	0.895136	0.913170	77.956093	77.082001	
0.001000	0.892618	0.913848	78.024094	76.937996	
0.001000	0.888914	0.914826	78.129494	76.900002	
0.001000	0.886332	0.912993	78.155487	76.849998	
0.000100	0.855989	0.900984	78.940109	77.472000	
0.000100	0.845278	0.897575	79.170731	77.557999	
0.000100	0.844701	0.892790	79.201065	77.500000	
0.000100	0.840483	0.893347	79.305565	77.542000	
0.000100	0.835860	0.893681	79.403961	77.514000	
0.000100	0.836119	0.893983	79.409012	77.449997	
0.000100	0.834519	0.894023	79.509819	77.625999	
0.000100	0.830565	0.889705	79.502975	77.526001	
0.000100	0.831268	0.891292	79.503784	77.498001	
0.000100	0.829637	0.892883	79.579376	77.617996	
