Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	5.599204	4.397776	6.137199	17.322001	
0.100000	3.842072	3.228568	23.269119	31.435999	
0.100000	3.184713	3.168128	33.323654	37.792000	
0.100000	2.897097	2.818286	38.181721	39.625999	
0.100000	2.732269	2.480659	40.993534	44.685997	
0.100000	2.627316	2.423866	42.855793	45.435997	
0.100000	2.546923	2.265760	44.324306	48.349998	
0.100000	2.494300	2.553610	45.242245	43.079998	
0.100000	2.450999	2.116228	46.093437	50.595997	
0.100000	2.417840	2.184961	46.632305	50.090000	
0.100000	2.392778	2.139527	47.171326	50.433998	
0.100000	2.371621	2.296817	47.535019	47.666000	
0.100000	2.355015	2.090764	47.811985	51.577999	
0.100000	2.339891	2.598394	48.154758	43.953999	
0.100000	2.324724	2.045824	48.429695	52.385998	
0.100000	2.313842	2.190493	48.572781	49.713997	
0.100000	2.301294	2.132095	48.848423	50.756001	
0.100000	2.294490	2.027322	48.973320	52.475998	
0.100000	2.285680	2.245185	49.114147	50.101997	
0.100000	2.279886	2.138824	49.243263	50.605999	
0.100000	2.274706	1.958950	49.361759	54.542000	
0.100000	2.265821	2.186072	49.517338	50.095997	
0.100000	2.261036	1.995194	49.568237	53.879997	
0.100000	2.257898	1.942138	49.663239	54.548000	
0.100000	2.253755	2.081763	49.747780	52.149998	
0.100000	2.247666	2.015614	49.876114	53.152000	
0.100000	2.244389	1.953517	49.947231	53.973999	
0.100000	2.239948	2.035889	49.967369	53.121998	
0.100000	2.236916	2.006502	50.090473	53.315998	
0.100000	2.235391	2.086528	50.101013	51.969997	
0.010000	1.692172	1.292179	61.069683	68.278000	
0.010000	1.575447	1.252468	63.399918	68.849998	
0.010000	1.526127	1.232661	64.378716	69.381996	
0.010000	1.501714	1.223796	64.897675	69.695999	
0.010000	1.481150	1.207380	65.258865	70.164001	
0.010000	1.466499	1.201456	65.638779	70.273994	
0.010000	1.461625	1.206396	65.650963	70.339996	
0.010000	1.454188	1.208798	65.815208	70.026001	
0.010000	1.451043	1.208487	65.835518	70.243996	
0.010000	1.451477	1.212264	65.824715	69.984001	
0.010000	1.450398	1.220870	65.896446	70.089996	
0.010000	1.449180	1.207622	65.864738	70.031998	
0.010000	1.451353	1.252764	65.838051	69.267998	
0.010000	1.452341	1.227934	65.756874	69.517998	
0.010000	1.451804	1.223554	65.784592	69.678001	
0.010000	1.449780	1.212718	65.816017	70.026001	
0.010000	1.450624	1.247704	65.818207	69.561996	
0.010000	1.446868	1.223191	65.894493	69.959999	
0.010000	1.445064	1.219858	65.940948	69.767998	
0.010000	1.443773	1.236870	65.968376	69.276001	
0.010000	1.442827	1.245255	65.958427	69.183998	
0.010000	1.439016	1.231597	66.003113	69.797997	
0.010000	1.438003	1.243000	66.103149	69.498001	
0.010000	1.436568	1.214464	66.133537	69.942001	
0.010000	1.438003	1.235925	66.070976	69.445999	
0.010000	1.430252	1.198146	66.226791	70.619995	
0.010000	1.426549	1.234228	66.294739	69.694000	
0.010000	1.424726	1.209490	66.328751	70.059998	
0.010000	1.421210	1.228088	66.378609	69.764000	
0.010000	1.419926	1.209350	66.399506	70.003998	
0.001000	1.215883	1.031683	71.037735	74.301994	
0.001000	1.163567	1.021820	72.177429	74.487999	
0.001000	1.142342	1.011723	72.606537	74.865997	
0.001000	1.127922	1.001886	72.976730	74.877998	
0.001000	1.114464	0.998333	73.240097	75.023994	
0.001000	1.105819	0.994075	73.412323	75.119995	
0.001000	1.096859	0.992785	73.659134	75.173996	
0.001000	1.091057	0.989976	73.752777	75.250000	
0.001000	1.081187	0.985551	73.916870	75.187996	
0.001000	1.075812	0.986986	74.070396	75.358002	
0.001000	1.071847	0.989592	74.162956	75.498001	
0.001000	1.066463	0.984130	74.258743	75.375999	
0.001000	1.059608	0.984705	74.427200	75.489998	
0.001000	1.054684	0.982710	74.543076	75.570000	
0.001000	1.049344	0.979425	74.693321	75.512001	
0.001000	1.045530	0.980460	74.746208	75.561996	
0.001000	1.042668	0.977407	74.806152	75.811996	
0.001000	1.037175	0.979165	74.969460	75.731995	
0.001000	1.035246	0.978600	74.984802	75.599998	
0.001000	1.030678	0.973099	75.089493	75.773994	
0.001000	1.025354	0.974002	75.184196	75.757996	
0.001000	1.026644	0.976102	75.171074	75.638000	
0.001000	1.021554	0.974872	75.325188	75.689995	
0.001000	1.018156	0.980480	75.360046	75.708000	
0.001000	1.014072	0.971859	75.436111	75.764000	
0.001000	1.010699	0.973627	75.511009	75.666000	
0.001000	1.007686	0.963365	75.604469	75.977997	
0.001000	1.005186	0.972049	75.640038	75.897995	
0.001000	1.001826	0.971705	75.744713	75.849998	
0.001000	0.999102	0.980785	75.791489	75.533997	
0.000100	0.964571	0.956802	76.573799	76.117996	
0.000100	0.955114	0.955716	76.860359	76.203995	
0.000100	0.952454	0.950816	76.913521	76.211998	
0.000100	0.950689	0.954314	76.953514	76.155998	
0.000100	0.947853	0.953345	76.975578	76.285995	
0.000100	0.946491	0.953897	77.033882	76.301994	
0.000100	0.944273	0.952041	77.097389	76.273994	
0.000100	0.942702	0.946521	77.113907	76.332001	
0.000100	0.943100	0.947092	77.121880	76.383995	
0.000100	0.939527	0.952871	77.190933	76.299995	
