Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	5.098750	3.905927	9.903795	20.966000	
0.100000	3.525503	2.992042	27.653269	34.871998	
0.100000	2.979006	2.590568	36.443501	41.576000	
0.100000	2.723328	2.337479	40.863403	45.905998	
0.100000	2.566486	2.260750	43.743523	47.955997	
0.100000	2.459347	2.369433	45.687668	46.259998	
0.100000	2.385193	2.046642	47.095371	52.227997	
0.100000	2.326627	2.100891	48.132355	50.953999	
0.100000	2.288680	1.957077	48.910793	53.717999	
0.100000	2.250600	2.013541	49.550358	53.315998	
0.100000	2.225225	1.933596	50.079857	54.056000	
0.100000	2.200098	2.026248	50.565094	52.452000	
0.100000	2.181961	1.933231	50.918797	54.688000	
0.100000	2.160844	1.911187	51.344082	55.007999	
0.100000	2.150995	1.938106	51.480145	54.517998	
0.100000	2.137214	2.032199	51.771240	52.619999	
0.100000	2.125011	1.965535	51.985443	54.166000	
0.100000	2.114312	2.076623	52.210186	51.773998	
0.100000	2.105980	1.897563	52.401829	55.535999	
0.100000	2.095893	1.875703	52.567871	55.523998	
0.100000	2.090128	1.797836	52.663967	56.897999	
0.100000	2.084075	1.964369	52.798542	53.703999	
0.100000	2.076077	1.863756	52.933979	55.795998	
0.100000	2.069985	1.972118	53.072079	53.959999	
0.100000	2.066051	1.772623	53.159584	57.571999	
0.100000	2.059417	1.831602	53.242405	56.657997	
0.100000	2.056744	1.817141	53.300571	56.939999	
0.100000	2.050911	1.801965	53.418678	57.155998	
0.100000	2.047449	1.887114	53.539749	55.230000	
0.100000	2.042562	1.763257	53.630360	57.472000	
0.010000	1.507142	1.141795	64.761856	71.180000	
0.010000	1.393949	1.101166	67.035347	72.085999	
0.010000	1.352057	1.083409	67.927406	72.655998	
0.010000	1.324242	1.068796	68.513023	72.879997	
0.010000	1.304092	1.053909	68.920868	73.355995	
0.010000	1.289541	1.063195	69.204071	73.117996	
0.010000	1.278739	1.058619	69.461517	73.061996	
0.010000	1.275329	1.048133	69.500237	73.414001	
0.010000	1.269083	1.069184	69.667107	72.832001	
0.010000	1.269620	1.051489	69.601257	73.267998	
0.010000	1.267947	1.069877	69.658699	73.007996	
0.010000	1.267451	1.060097	69.657440	72.905998	
0.010000	1.265699	1.070837	69.676659	73.213997	
0.010000	1.264656	1.100417	69.623917	72.467995	
0.010000	1.265195	1.079014	69.644569	72.521996	
0.010000	1.262415	1.088094	69.664513	72.498001	
0.010000	1.261425	1.085263	69.712807	72.757996	
0.010000	1.259124	1.073785	69.784744	73.033997	
0.010000	1.257991	1.100966	69.804855	72.243996	
0.010000	1.254830	1.085827	69.879356	72.629997	
0.010000	1.252552	1.089180	69.922676	72.245995	
0.010000	1.252126	1.105647	69.970108	72.348000	
0.010000	1.247620	1.079198	70.024979	72.875999	
0.010000	1.246337	1.071914	70.081520	73.017998	
0.010000	1.242102	1.106198	70.165092	72.187996	
0.010000	1.241542	1.094709	70.120728	72.273994	
0.010000	1.236617	1.069067	70.257492	72.944000	
0.010000	1.234897	1.063041	70.288170	73.374001	
0.010000	1.233354	1.078105	70.308578	72.755997	
0.010000	1.229456	1.095729	70.385040	72.514000	
0.001000	1.028352	0.905220	75.014267	77.000000	
0.001000	0.973718	0.891423	76.256920	77.388000	
0.001000	0.951991	0.885980	76.775078	77.501999	
0.001000	0.937038	0.882359	77.096535	77.556000	
0.001000	0.922469	0.876573	77.428596	77.671997	
0.001000	0.913230	0.877641	77.636726	77.713997	
0.001000	0.905427	0.879570	77.831963	77.787994	
0.001000	0.897667	0.876456	78.018745	77.771996	
0.001000	0.889481	0.877586	78.183701	77.959999	
0.001000	0.884317	0.865833	78.296410	77.820000	
0.001000	0.878204	0.869543	78.416039	78.007996	
0.001000	0.871335	0.871294	78.622337	77.953995	
0.001000	0.864371	0.869391	78.770020	77.935997	
0.001000	0.859630	0.870202	78.844337	77.874001	
0.001000	0.854624	0.869916	78.981369	77.917999	
0.001000	0.846840	0.869918	79.145950	77.959999	
0.001000	0.844891	0.875804	79.224960	77.846001	
0.001000	0.840986	0.878130	79.347603	77.875999	
0.001000	0.837348	0.877650	79.444443	78.113998	
0.001000	0.831881	0.874089	79.521370	78.084000	
0.001000	0.828194	0.876626	79.632935	78.017998	
0.001000	0.825208	0.875760	79.707817	77.907997	
0.001000	0.823882	0.881012	79.720940	77.975998	
0.001000	0.819135	0.878266	79.830208	77.928001	
0.001000	0.814644	0.874789	79.937172	78.096001	
0.001000	0.811851	0.883785	80.009102	77.914001	
0.001000	0.807213	0.884333	80.120529	78.071999	
0.001000	0.803908	0.886753	80.180977	78.153999	
0.001000	0.799990	0.881990	80.299744	78.059998	
0.001000	0.799202	0.891673	80.310692	77.959999	
0.000100	0.764685	0.870342	81.195557	78.273994	
0.000100	0.754915	0.870451	81.448051	78.393997	
0.000100	0.750952	0.874066	81.511856	78.379997	
0.000100	0.747652	0.866329	81.626122	78.358002	
0.000100	0.747700	0.868714	81.653625	78.467995	
0.000100	0.742809	0.870860	81.696289	78.358002	
0.000100	0.740522	0.870473	81.767708	78.467995	
0.000100	0.741101	0.867820	81.762108	78.473999	
0.000100	0.737901	0.870185	81.821419	78.472000	
0.000100	0.738549	0.869552	81.855576	78.369995	
