Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	5.301373	4.001920	8.401638	19.718000	
0.100000	3.600041	3.152897	26.729321	32.281998	
0.100000	3.041396	2.788539	35.555931	38.590000	
0.100000	2.785826	2.618871	39.937267	42.205997	
0.100000	2.633269	2.340728	42.578201	46.096001	
0.100000	2.532287	2.262638	44.477543	48.149998	
0.100000	2.457945	2.194290	45.781189	48.905998	
0.100000	2.404781	2.126519	46.716454	50.431999	
0.100000	2.364039	2.091159	47.494427	51.341999	
0.100000	2.332531	2.058553	48.095665	51.829998	
0.100000	2.302893	2.001882	48.625317	53.138000	
0.100000	2.283064	2.031705	49.031868	52.359997	
0.100000	2.265701	2.014053	49.331940	53.237999	
0.100000	2.248882	2.186262	49.681740	49.625999	
0.100000	2.235771	1.922163	49.888603	54.661999	
0.100000	2.224010	2.008169	50.074471	52.931999	
0.100000	2.216471	1.958408	50.268066	54.133999	
0.100000	2.203524	1.954643	50.496010	53.826000	
0.100000	2.197734	2.021789	50.623718	52.821999	
0.100000	2.187112	1.913761	50.810680	54.461998	
0.100000	2.182162	1.884515	50.833630	55.160000	
0.100000	2.176546	1.916868	50.954159	54.609997	
0.100000	2.171086	2.064060	51.092640	51.826000	
0.100000	2.165689	1.961949	51.181400	53.711998	
0.100000	2.162442	1.960149	51.299431	53.647999	
0.100000	2.157413	1.905889	51.388733	54.854000	
0.100000	2.153098	1.845272	51.421207	56.307999	
0.100000	2.150780	1.905059	51.485764	55.003998	
0.100000	2.148423	1.830019	51.511135	56.511997	
0.100000	2.143351	1.994097	51.581547	53.279999	
0.010000	1.621639	1.226917	62.362617	69.433998	
0.010000	1.505993	1.174980	64.758369	70.557999	
0.010000	1.459932	1.161514	65.639732	70.645996	
0.010000	1.431526	1.142967	66.257172	71.119995	
0.010000	1.412081	1.131485	66.618614	71.318001	
0.010000	1.399464	1.131602	66.885483	71.307999	
0.010000	1.387273	1.123465	67.169617	71.526001	
0.010000	1.385983	1.123077	67.192772	71.661995	
0.010000	1.380236	1.120071	67.263000	71.680000	
0.010000	1.376357	1.184084	67.404854	70.381996	
0.010000	1.377777	1.121389	67.294662	71.666000	
0.010000	1.375295	1.162216	67.398979	70.615997	
0.010000	1.375521	1.143197	67.325478	70.977997	
0.010000	1.374366	1.143143	67.367722	71.138000	
0.010000	1.374330	1.131135	67.366768	71.519997	
0.010000	1.375498	1.141926	67.332077	71.292000	
0.010000	1.372723	1.149723	67.396935	71.063995	
0.010000	1.373884	1.147782	67.334511	71.139999	
0.010000	1.368448	1.203702	67.465462	69.804001	
0.010000	1.368817	1.143629	67.458107	71.181999	
0.010000	1.366362	1.138213	67.519157	71.211998	
0.010000	1.365409	1.138503	67.528236	71.229996	
0.010000	1.361953	1.127811	67.587990	71.659996	
0.010000	1.358074	1.147068	67.675537	71.145996	
0.010000	1.356417	1.142055	67.771347	71.486000	
0.010000	1.352935	1.151982	67.773933	71.035995	
0.010000	1.351121	1.137210	67.819557	71.379997	
0.010000	1.346591	1.142911	67.871574	71.189995	
0.010000	1.342433	1.134560	67.973381	71.395996	
0.010000	1.344562	1.142836	67.937828	71.330002	
0.001000	1.151378	0.963188	72.338516	75.421997	
0.001000	1.094943	0.948990	73.602692	75.925995	
0.001000	1.074671	0.943350	74.017365	76.009995	
0.001000	1.059946	0.939947	74.344078	76.150002	
0.001000	1.047832	0.933686	74.578178	76.164001	
0.001000	1.039859	0.935097	74.749214	76.241997	
0.001000	1.029338	0.925504	75.024330	76.456001	
0.001000	1.022953	0.922143	75.137451	76.573997	
0.001000	1.016239	0.925172	75.355629	76.411995	
0.001000	1.009141	0.918807	75.498489	76.419998	
0.001000	1.004656	0.919920	75.626175	76.557999	
0.001000	0.997314	0.917401	75.764107	76.643997	
0.001000	0.993099	0.918657	75.819969	76.659996	
0.001000	0.988728	0.919031	75.981453	76.559998	
0.001000	0.982921	0.917858	76.055389	76.858002	
0.001000	0.980672	0.917781	76.150826	76.706001	
0.001000	0.976215	0.912139	76.272766	76.709999	
0.001000	0.969793	0.911492	76.374878	76.706001	
0.001000	0.967097	0.912257	76.440651	76.923996	
0.001000	0.963781	0.921980	76.519966	76.708000	
0.001000	0.961354	0.911945	76.555458	76.889999	
0.001000	0.955997	0.913653	76.688133	77.012001	
0.001000	0.953567	0.912599	76.769150	77.059998	
0.001000	0.948765	0.910439	76.836319	76.935997	
0.001000	0.944979	0.911226	76.936432	77.028000	
0.001000	0.944406	0.916236	76.993797	76.849998	
0.001000	0.941642	0.911381	77.044739	77.026001	
0.001000	0.936833	0.913713	77.095924	76.981995	
0.001000	0.934115	0.910165	77.171112	77.037994	
0.001000	0.932355	0.913808	77.263512	76.923996	
0.000100	0.898630	0.894651	78.051239	77.327995	
0.000100	0.891242	0.891304	78.271118	77.388000	
0.000100	0.886696	0.894304	78.354500	77.486000	
0.000100	0.883745	0.891393	78.401413	77.514000	
0.000100	0.880477	0.894141	78.522522	77.414001	
0.000100	0.879892	0.891476	78.492607	77.563995	
0.000100	0.879787	0.890336	78.504105	77.505997	
0.000100	0.879280	0.890295	78.530045	77.584000	
0.000100	0.875247	0.890654	78.588913	77.521996	
0.000100	0.875450	0.888533	78.614716	77.545998	
