Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	5.590404	5.046653	0.759549	2.928000	
0.100000	4.408831	3.900473	8.556548	14.154000	
0.100000	3.610413	3.194435	19.621156	25.572000	
0.100000	3.178770	2.847161	27.227493	32.144001	
0.100000	2.923760	2.652397	32.181610	36.570001	
0.100000	2.738929	2.456317	35.647631	40.112001	
0.100000	2.596901	2.499486	38.805959	39.634001	
0.100000	2.499301	2.362271	40.614149	42.394001	
0.100000	2.434130	2.146954	42.109995	47.100001	
0.100000	2.379901	2.185849	43.190414	46.448001	
0.100000	2.335135	2.083847	44.315011	48.404001	
0.100000	2.296979	2.082560	45.002480	48.816001	
0.100000	2.266562	2.071781	45.857360	49.028000	
0.100000	2.240724	2.033926	46.412295	49.734001	
0.100000	2.212554	2.041180	47.038535	49.710000	
0.100000	2.190750	2.044822	47.357856	49.758000	
0.100000	2.179020	2.073663	47.623698	49.064001	
0.100000	2.167091	1.993871	48.134456	50.442001	
0.100000	2.149483	1.982693	48.244513	51.208001	
0.100000	2.139547	2.047642	48.600260	49.536001	
0.100000	2.110664	2.011956	49.362909	50.222001	
0.100000	2.112214	1.942355	49.223400	51.754001	
0.100000	2.096120	1.941546	49.404762	51.812000	
0.100000	2.093273	2.003271	49.727958	50.154000	
0.100000	2.073693	1.916461	50.127883	52.416001	
0.100000	2.073497	1.924372	50.023251	52.310001	
0.100000	2.063248	1.912095	50.055804	52.618000	
0.100000	2.058034	2.006325	50.461155	50.712000	
0.100000	2.054106	1.868546	50.530134	53.820001	
0.100000	2.041999	1.871305	50.771174	53.310001	
0.100000	2.032970	1.874708	50.971137	53.564000	
0.100000	2.033623	1.857446	50.863405	53.834001	
0.100000	2.025505	1.845398	51.123822	53.746000	
0.100000	2.020128	1.860093	51.157924	53.994001	
0.100000	2.019083	1.888347	51.281157	53.358000	
0.100000	2.017894	1.836437	51.540799	54.238000	
0.100000	2.007995	1.811126	51.474919	54.836001	
0.100000	2.002246	1.831976	51.652406	54.298000	
0.100000	2.001156	1.818522	51.629154	54.582001	
0.100000	1.992233	1.800382	51.750062	54.686001	
0.100000	1.992888	1.816487	51.795015	54.540001	
0.100000	1.981465	1.837459	52.059307	54.290000	
0.100000	1.973105	1.818342	52.203466	54.978001	
0.100000	1.972134	1.852729	52.202691	53.886001	
0.100000	1.968626	1.815939	52.205791	54.770000	
0.100000	1.959874	1.818787	52.484034	54.860001	
0.100000	1.968816	1.837250	52.409629	53.866001	
0.100000	1.961920	1.782512	52.621993	55.708001	
0.100000	1.969543	1.801525	52.237568	55.170001	
0.100000	1.954564	1.814196	52.889385	55.046001	
0.100000	1.956510	1.805261	52.722749	54.922000	
0.100000	1.945594	1.862990	52.909536	53.800001	
0.100000	1.950260	1.822842	52.944413	54.950001	
0.100000	1.946154	1.778489	52.901786	55.966001	
0.100000	1.943984	1.760701	52.997117	56.198001	
0.100000	1.939034	1.802775	53.060671	54.988000	
0.100000	1.930665	1.796930	53.277685	55.026001	
0.100000	1.930955	1.785943	53.355190	55.698001	
0.100000	1.922266	1.833036	53.516400	54.332001	
0.100000	1.932919	1.765524	53.207155	56.012001	
0.100000	1.930093	1.780783	53.237382	55.706000	
0.100000	1.931134	1.918257	53.366815	52.450001	
0.100000	1.922787	1.821755	53.499349	54.704001	
0.100000	1.914875	1.773247	53.743490	56.330001	
0.100000	1.912509	1.760953	53.758991	56.094001	
0.100000	1.921496	1.796091	53.453621	55.504000	
0.100000	1.907854	1.786993	53.759766	55.334000	
0.100000	1.909351	1.775009	53.857422	55.552000	
0.100000	1.901948	1.720657	54.103888	56.854001	
0.100000	1.908481	1.815260	53.841146	55.006000	
0.100000	1.896341	1.759256	54.026383	56.034001	
0.100000	1.891148	1.735204	54.163566	56.682000	
0.100000	1.893012	1.732035	54.054284	56.748001	
0.100000	1.892737	1.758494	54.140315	56.396001	
0.100000	1.893704	1.716179	54.150391	57.082001	
0.100000	1.887836	1.867872	54.151941	53.504000	
0.100000	1.886596	1.802582	54.157366	55.282000	
0.100000	1.887474	1.736754	54.424758	57.098001	
0.100000	1.879001	1.749057	54.386006	56.326000	
0.100000	1.880337	1.679743	54.306951	58.036000	
0.100000	1.874298	1.757687	54.515439	56.170000	
0.100000	1.874044	1.702086	54.602245	57.656001	
0.100000	1.877234	1.737357	54.451110	56.882001	
0.100000	1.856248	1.669994	55.021546	58.408001	
0.100000	1.874893	1.757476	54.499938	56.316001	
0.100000	1.860014	1.701027	55.039373	57.584000	
0.100000	1.872791	1.760272	54.410807	56.192000	
0.100000	1.870687	1.705024	54.761905	57.468001	
0.100000	1.858336	1.663728	55.048673	58.428000	
0.100000	1.861061	1.751441	54.875062	56.010000	
0.100000	1.846016	1.700645	55.246311	57.274000	
0.100000	1.862235	1.703181	54.817708	57.702001	
0.100000	1.858748	1.753502	54.892888	56.616000	
0.100000	1.849845	1.694162	55.199033	57.712001	
0.100000	1.840102	1.723095	55.230035	57.060001	
0.100000	1.848833	1.697175	55.007595	57.738001	
0.100000	1.842927	1.686001	55.171906	58.114001	
0.100000	1.841016	1.658356	55.200583	58.320001	
0.100000	1.838802	1.686979	55.450924	58.062001	
0.100000	1.830930	1.682735	55.529204	58.352001	
0.100000	1.829683	1.668199	55.436198	58.366001	
0.100000	1.826768	1.694521	55.595083	57.826000	
0.100000	1.822792	1.731365	55.805122	57.064000	
0.100000	1.826629	1.674423	55.589658	58.196001	
0.100000	1.826204	1.712334	55.671038	57.660000	
0.100000	1.815370	1.703540	55.977958	57.494001	
0.100000	1.815857	1.644180	55.861700	59.050001	
0.100000	1.817555	1.678417	55.806672	57.994001	
0.100000	1.811239	1.657431	55.813647	58.754000	
0.100000	1.819316	1.677909	55.850074	58.386001	
0.100000	1.810038	1.678143	56.071739	58.432001	
0.100000	1.810164	1.663075	56.082589	58.494000	
0.100000	1.809711	1.678947	56.018260	58.192001	
0.100000	1.808564	1.696413	56.068638	58.004001	
0.100000	1.797054	1.684473	56.378658	58.218001	
0.100000	1.797578	1.640180	56.394934	59.288001	
0.100000	1.788487	1.632265	56.628999	59.210001	
0.100000	1.802272	1.651701	56.260076	58.748001	
0.100000	1.786462	1.620273	56.745257	59.528000	
0.100000	1.788546	1.623448	56.597222	59.466001	
0.100000	1.785589	1.633871	56.495691	59.362001	
0.100000	1.791228	1.615248	56.446863	59.762001	
0.100000	1.779752	1.615687	56.831287	59.908001	
0.100000	1.789685	1.642704	56.517392	59.628001	
0.100000	1.782786	1.606478	56.627449	60.346001	
0.100000	1.785296	1.654048	56.729756	58.632000	
0.100000	1.778167	1.647922	56.674727	58.550000	
0.100000	1.777522	1.691811	56.925843	57.934000	
0.100000	1.775427	1.661950	56.759208	58.832001	
0.100000	1.761607	1.713581	57.183935	57.280001	
0.100000	1.758152	1.610857	57.173084	59.810001	
0.100000	1.764133	1.621821	57.259890	59.634001	
0.100000	1.760426	1.600640	57.266090	60.074001	
0.100000	1.765475	1.668164	57.008774	58.852001	
0.100000	1.752211	1.663846	57.383898	58.428001	
0.100000	1.753976	1.714972	57.354446	57.156001	
0.100000	1.745842	1.699299	57.567584	57.868000	
0.100000	1.746768	1.578924	57.611762	60.646001	
0.100000	1.756007	1.582942	57.352896	60.680000	
0.100000	1.743073	1.603185	57.573785	60.420001	
0.100000	1.746899	1.602362	57.665241	59.848001	
0.100000	1.741411	1.613939	57.747396	59.872001	
0.100000	1.741803	1.578554	57.556734	60.670000	
0.100000	1.730209	1.555174	57.944258	61.132000	
0.100000	1.741167	1.599335	57.671441	60.092001	
0.100000	1.724664	1.572014	58.027964	60.800001	
0.100000	1.731207	1.593744	57.832651	60.088001	
0.100000	1.720938	1.615800	58.055091	59.678001	
0.100000	1.721559	1.584672	58.239552	60.408002	
0.100000	1.719741	1.585136	58.314732	60.394001	
0.100000	1.722246	1.652543	58.062066	58.776001	
0.100000	1.718347	1.618310	58.219401	59.564001	
0.100000	1.703481	1.586991	58.597625	60.496001	
0.100000	1.714590	1.557218	58.209325	60.988001	
0.100000	1.708725	1.571387	58.524771	60.818001	
0.100000	1.696197	1.602427	58.643353	60.256001	
0.100000	1.700887	1.567767	58.658854	61.114001	
0.100000	1.708540	1.553370	58.533296	61.412001	
0.100000	1.691144	1.573996	58.867343	60.706001	
0.100000	1.691246	1.544210	58.948723	61.448001	
0.100000	1.689660	1.572936	58.869668	60.896001	
0.100000	1.686415	1.558724	58.803013	61.068001	
0.100000	1.689800	1.566843	58.945623	61.096001	
0.100000	1.690260	1.536595	59.021577	61.930000	
0.100000	1.678441	1.544090	59.194413	61.168001	
0.100000	1.678976	1.612052	59.062655	60.044000	
0.100000	1.671370	1.543339	59.271143	61.270001	
0.100000	1.670385	1.527156	59.344773	61.888001	
