Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	5.473694	10.927189	7.349042	19.222000	
0.100000	3.593099	3.030966	26.904648	34.764000	
0.100000	2.950284	2.564719	37.123737	42.666000	
0.100000	2.670488	2.388777	41.933170	45.360001	
0.100000	2.516481	2.203785	44.780270	49.009998	
0.100000	2.416231	2.312277	46.568371	47.472000	
0.100000	2.341539	2.027882	47.908470	52.371998	
0.100000	2.288054	2.064557	48.947716	51.821999	
0.100000	2.246729	2.039258	49.684704	52.292000	
0.100000	2.216354	1.965085	50.247616	53.579998	
0.100000	2.190329	2.041781	50.765717	52.217999	
0.100000	2.167890	1.874389	51.146271	55.477997	
0.100000	2.150492	1.899518	51.503563	54.995998	
0.100000	2.133471	1.886283	51.761951	55.363998	
0.100000	2.120406	1.810969	52.027050	56.907997	
0.100000	2.108477	1.894944	52.245235	55.216000	
0.100000	2.100665	1.816960	52.402920	56.827999	
0.100000	2.089695	1.852335	52.693695	55.354000	
0.100000	2.081096	1.844214	52.847340	56.105999	
0.100000	2.076612	1.798573	52.895733	57.051998	
0.100000	2.065083	1.909577	53.090565	55.382000	
0.100000	2.064172	1.889960	53.140926	55.500000	
0.100000	2.058027	1.757634	53.309521	57.753998	
0.100000	2.053959	1.856306	53.378071	56.000000	
0.100000	2.048100	1.938524	53.477917	54.241997	
0.100000	2.043009	1.814214	53.529865	56.889999	
0.100000	2.041356	1.780213	53.613441	57.637997	
0.100000	2.036743	1.868931	53.717800	55.481998	
0.100000	2.035191	1.797363	53.693756	57.014000	
0.100000	2.031367	1.810448	53.828388	56.903999	
0.010000	1.533148	1.156352	64.148384	70.869995	
0.010000	1.416287	1.114514	66.584618	71.851997	
0.010000	1.373087	1.094077	67.419601	72.206001	
0.010000	1.341755	1.085464	68.083618	72.517998	
0.010000	1.324288	1.082371	68.435699	72.643997	
0.010000	1.313050	1.087973	68.688110	72.283997	
0.010000	1.304849	1.063778	68.846107	72.970001	
0.010000	1.295136	1.073228	69.044930	72.681999	
0.010000	1.292720	1.075133	69.057541	72.584000	
0.010000	1.291224	1.118775	69.065651	71.762001	
0.010000	1.293381	1.099889	69.065857	72.133995	
0.010000	1.294014	1.080579	69.008392	72.491997	
0.010000	1.291080	1.086202	69.028046	72.517998	
0.010000	1.292402	1.099671	69.035278	72.241997	
0.010000	1.290482	1.089999	68.991310	72.416000	
0.010000	1.290212	1.101878	69.007294	71.986000	
0.010000	1.290027	1.096457	69.077522	72.283997	
0.010000	1.290024	1.106766	69.079834	72.136002	
0.010000	1.286719	1.113264	69.115784	71.902000	
0.010000	1.286181	1.093233	69.142372	72.251999	
0.010000	1.286334	1.115096	69.107925	71.839996	
0.010000	1.282476	1.106659	69.167900	72.171997	
0.010000	1.278866	1.093634	69.261116	72.143997	
0.010000	1.277729	1.104653	69.294846	72.234001	
0.010000	1.275925	1.109970	69.335472	71.909996	
0.010000	1.271692	1.096730	69.384193	72.306000	
0.010000	1.270930	1.107265	69.386177	71.981995	
0.010000	1.267135	1.110530	69.480293	72.150002	
0.010000	1.263338	1.100780	69.562660	72.264000	
0.010000	1.262822	1.084356	69.638023	72.549995	
0.001000	1.074370	0.938700	73.937691	76.127998	
0.001000	1.023155	0.931077	75.138664	76.297997	
0.001000	1.000248	0.918553	75.683594	76.451996	
0.001000	0.984978	0.914738	76.008087	76.570000	
0.001000	0.973430	0.907186	76.234848	76.765999	
0.001000	0.963062	0.904362	76.509689	76.765999	
0.001000	0.955039	0.902732	76.647194	76.734001	
0.001000	0.948396	0.899474	76.797302	76.919998	
0.001000	0.942782	0.899747	76.966263	76.790001	
0.001000	0.936224	0.904838	77.097160	76.703995	
0.001000	0.929306	0.898533	77.245552	76.886002	
0.001000	0.922094	0.897402	77.419373	76.931999	
0.001000	0.918748	0.896708	77.493736	76.995995	
0.001000	0.913540	0.900332	77.630180	76.970001	
0.001000	0.909266	0.901376	77.707909	77.021996	
0.001000	0.904164	0.899235	77.823616	77.003998	
0.001000	0.900925	0.900694	77.892944	77.094002	
0.001000	0.896971	0.898645	78.010139	76.973999	
0.001000	0.892873	0.897139	78.098450	76.947998	
0.001000	0.888448	0.899893	78.201729	77.094002	
0.001000	0.885401	0.897668	78.281593	77.161995	
0.001000	0.880403	0.906944	78.360085	76.902000	
0.001000	0.878988	0.903104	78.402138	77.043999	
0.001000	0.872032	0.897664	78.522377	76.865997	
0.001000	0.871919	0.902132	78.591553	77.001999	
0.001000	0.867807	0.906879	78.657394	76.863998	
0.001000	0.866874	0.903210	78.718239	76.981995	
0.001000	0.862585	0.902323	78.772781	76.965996	
0.001000	0.859203	0.904578	78.914993	77.085999	
0.001000	0.858341	0.900832	78.916412	76.998001	
0.000100	0.826190	0.887638	79.733757	77.395996	
0.000100	0.817867	0.887358	79.903450	77.437996	
0.000100	0.813319	0.886845	80.039757	77.498001	
0.000100	0.810589	0.886717	80.045273	77.383995	
0.000100	0.809333	0.885963	80.090775	77.416000	
0.000100	0.807763	0.886244	80.145546	77.537994	
0.000100	0.805747	0.886664	80.205200	77.374001	
0.000100	0.804160	0.885907	80.232887	77.475998	
0.000100	0.802608	0.889330	80.251304	77.502000	
0.000100	0.801342	0.887384	80.272961	77.437996	
